Wavelength,Intensity
350,1.119
351,1.056
352,0.932
353,0.993
354,1.124
355,1.0955
356,0.998
357,0.9145
358,0.759
359,0.8815
360,1.0575
361,0.9365
362,1.0345
363,1.0665
364,0.9865
365,1.139
366,1.256
367,1.2315
368,1.151
369,1.2095
370,1.203
371,1.191
372,1.186
373,0.9515
374,0.858
375,1.0095
376,1.121
377,1.196
378,1.316
379,1.1705
380,1.1445
381,1.1925
382,0.9145
383,0.7085
384,0.8555
385,0.9905
386,1.0125
387,1.0185
388,0.939
389,1.0695
390,1.225
391,1.3105
392,1.1765
393,0.722
394,0.795
395,1.2395
396,1.014
397,0.845
398,1.289
399,1.5965
400,1.652
401,1.7225
402,1.7995
403,1.7305
404,1.63
405,1.637
406,1.648
407,1.5845
408,1.6845
409,1.765
410,1.604
411,1.6605
412,1.805
413,1.7745
414,1.7485
415,1.7375
416,1.79
417,1.7555
418,1.6765
419,1.6945
420,1.7315
421,1.7795
422,1.6915
423,1.6485
424,1.7415
425,1.7335
426,1.6985
427,1.6355
428,1.58
429,1.533
430,1.3065
431,1.412
432,1.668
433,1.6905
434,1.7025
435,1.6985
436,1.828
437,1.8695
438,1.6885
439,1.698
440,1.771
441,1.824
442,1.9575
443,1.9465
444,1.943
445,1.899
446,1.858
447,1.986
448,2.027
449,2.002
450,2.0875
451,2.1285
452,2.027
453,1.9575
454,1.9765
455,2.0085
456,2.0575
457,2.0905
458,2.0375
459,1.992
460,2.0265
461,2.0495
462,2.0815
463,2.074
464,2.01
465,2.011
466,1.9835
467,1.97
468,2.0065
469,1.994
470,1.9355
471,1.9495
472,2.0315
473,2.018
474,2.023
475,2.0355
476,1.988
477,2.0175
478,2.044
479,2.0445
480,2.0575
481,2.0645
482,2.0585
483,2.023
484,1.996
485,1.9015
486,1.7295
487,1.7295
488,1.874
489,1.939
490,1.9855
491,1.9535
492,1.898
493,1.894
494,1.975
495,1.994
496,1.9735
497,2.0195
498,1.944
499,1.92
500,1.9155
501,1.8365
502,1.855
503,1.916
504,1.9035
505,1.933
506,1.979
507,1.9355
508,1.9145
509,1.9195
510,1.9335
511,1.974
512,1.934
513,1.866
514,1.8695
515,1.889
516,1.7865
517,1.6995
518,1.692
519,1.743
520,1.8315
521,1.8705
522,1.8665
523,1.8605
524,1.928
525,1.946
526,1.804
527,1.753
528,1.8645
529,1.9095
530,1.937
531,1.9595
532,1.869
533,1.849
534,1.8925
535,1.926
536,1.9325
537,1.8785
538,1.895
539,1.87
540,1.803
541,1.8275
542,1.855
543,1.854
544,1.881
545,1.892
546,1.892
547,1.858
548,1.85
549,1.881
550,1.8805
551,1.8685
552,1.8605
553,1.866
554,1.892
555,1.8995
556,1.861
557,1.8355
558,1.8185
559,1.7995
560,1.8275
561,1.8355
562,1.839
563,1.8575
564,1.8595
565,1.828
566,1.8155
567,1.86
568,1.8505
569,1.837
570,1.817
571,1.7985
572,1.8595
573,1.886
574,1.8735
575,1.8505
576,1.84
577,1.8535
578,1.8225
579,1.808
580,1.835
581,1.8475
582,1.865
583,1.867
584,1.8605
585,1.824
586,1.809
587,1.841
588,1.801
589,1.683
590,1.7145
591,1.802
592,1.7995
593,1.804
594,1.787
595,1.7805
596,1.796
597,1.795
598,1.7715
599,1.7685
600,1.7625
601,1.7505
